start_step,end_step,forecast_horizon,forecast_MSE,persistence_MSE,percent_improvement,method
46,47,5,0.009639874,0.01077546,10.53863288,warping
46,48,10,0.02135287,0.013551992,-57.56259425,warping
46,49,15,0.044889072,0.038143854,-17.68363093,warping
46,50,20,0.059624721,0.048148423,-23.83525226,warping
46,51,25,0.078257452,0.059044246,-32.54035457,warping
46,52,30,0.096780175,0.087002468,-11.23842429,warping
46,53,35,0.107466424,0.107769781,0.281485959,warping
46,54,40,0.112130534,0.12198932,8.081679462,warping
46,55,45,0.109351862,0.125149697,12.62315114,warping
46,56,50,0.114424933,0.130342491,12.21210183,warping
47,48,5,0.010528894,0.001641452,-541.4378714,warping
47,49,10,0.014866422,0.022746753,34.64376308,warping
47,50,15,0.023567829,0.031856149,26.01795978,warping
47,51,20,0.02954771,0.044469611,33.55527508,warping
47,52,25,0.043641692,0.075402931,42.1220219,warping
47,53,30,0.056504271,0.099656738,43.30110366,warping
47,54,35,0.066514321,0.116002843,42.66147318,warping
47,55,40,0.069834253,0.119741291,41.67905491,warping
47,56,45,0.076828126,0.125810771,38.93358655,warping
47,57,50,0.084143155,0.129971812,35.26045817,warping
48,49,5,0.022612833,0.021096967,-7.18523231,warping
48,50,10,0.027236097,0.028514346,4.482828171,warping
48,51,15,0.039520848,0.041126904,3.905121572,warping
48,52,20,0.068716485,0.072199442,4.824077381,warping
48,53,25,0.090727675,0.096430689,5.914107057,warping
48,54,30,0.106373985,0.113189952,6.021706558,warping
48,55,35,0.110378525,0.117439375,6.012335655,warping
48,56,40,0.115271298,0.123509014,6.669729129,warping
48,57,45,0.119445607,0.128209141,6.835342251,warping
48,58,50,0.12534205,0.13429063,6.663591941,warping
49,50,5,0.028121897,0.007395297,-280.2673163,warping
49,51,10,0.041811244,0.015906312,-162.8594502,warping
49,52,15,0.061906215,0.048820793,-26.80296743,warping
49,53,20,0.079666431,0.078467575,-1.527836061,warping
49,54,25,0.099423862,0.098661059,-0.773154824,warping
49,55,30,0.122272374,0.102907484,-18.81776633,warping
49,56,35,0.137482499,0.113498161,-21.13191812,warping
49,57,40,0.154709106,0.121101796,-27.75128919,warping
49,58,45,0.169094712,0.129025593,-31.05517104,warping
49,59,50,0.184475761,0.137940282,-33.7359602,warping
50,51,5,0.016325467,0.008476294,-92.60147322,warping
50,52,10,0.044672259,0.040700478,-9.758561334,warping
50,53,15,0.07057336,0.069970427,-0.86169758,warping
50,54,20,0.08655706,0.090955365,4.835674519,warping
50,55,25,0.088278287,0.096804095,8.807280685,warping
50,56,30,0.102066267,0.107396701,4.96331292,warping
50,57,35,0.10858385,0.116178379,6.536955786,warping
50,58,40,0.115889449,0.125082373,7.349495917,warping
50,59,45,0.123121534,0.134690788,8.58949169,warping
50,60,50,0.133162364,0.14914543,10.71643024,warping
51,52,5,0.021782115,0.026980379,19.26682872,warping
51,53,10,0.04207324,0.057985245,27.44147227,warping
51,54,15,0.058160856,0.080603081,27.84288812,warping
51,55,20,0.060385752,0.086448703,30.14845815,warping
51,56,25,0.067631609,0.098632438,31.43066218,warping
51,57,30,0.076656039,0.108992063,29.66823744,warping
