start_step,end_step,forecast_horizon,forecast_MSE,persistence_MSE,percent_improvement,method
36,39,15,0.028912024,0.044197307,34.58419433,warping
36,40,20,0.035336067,0.053389338,33.81437424,warping
36,41,25,0.044320467,0.064778235,31.58123686,warping
36,42,30,0.053676639,0.074418266,27.87168834,warping
36,43,35,0.06151079,0.083396776,26.2432044,warping
36,44,40,0.069157913,0.090409871,23.50623639,warping
36,45,45,0.075789578,0.095565291,20.69340534,warping
36,46,50,0.082348956,0.103858381,20.7103413,warping
37,38,5,0.005436522,0.0068649,20.80697927,warping
37,39,10,0.020697877,0.033445087,38.11384746,warping
37,40,15,0.028245497,0.043595016,35.20934283,warping
37,41,20,0.041019132,0.056039416,26.80307101,warping
37,42,25,0.056919848,0.06625804,14.09367389,warping
37,43,30,0.074043838,0.075549474,1.992913465,warping
37,44,35,0.091711584,0.083398394,-9.968045412,warping
37,45,40,0.106506178,0.089711298,-18.72103128,warping
37,46,45,0.121089723,0.098978009,-22.34002679,warping
37,47,50,0.13559887,0.109280496,-24.08332205,warping
38,39,5,0.0180487,0.023774596,24.08409348,warping
38,40,10,0.024267143,0.034807029,30.28091392,warping
38,41,15,0.035294276,0.049138376,28.17370293,warping
38,42,20,0.045202833,0.060163352,24.86649899,warping
38,43,25,0.055733056,0.070262146,20.67840366,warping
38,44,30,0.066202766,0.078470639,15.63371167,warping
38,45,35,0.076211031,0.085407365,10.76761203,warping
38,46,40,0.089834151,0.095484381,5.917439309,warping
38,47,45,0.105325922,0.106094617,0.724537312,warping
38,48,50,0.113077723,0.107461246,-5.226514174,warping
39,40,5,0.018458093,0.007201785,-156.2988636,warping
39,41,10,0.036536444,0.022059604,-65.62601922,warping
39,42,15,0.054431053,0.035433623,-53.61413295,warping
39,43,20,0.070707911,0.048741392,-45.06748396,warping
39,44,25,0.085434084,0.059859865,-42.72348329,warping
39,45,30,0.100414694,0.06878955,-45.97376254,warping
39,46,35,0.114110158,0.081118753,-40.67050196,warping
39,47,40,0.126946959,0.093610871,-35.61134241,warping
39,48,45,0.13405599,0.095346788,-40.59832885,warping
39,49,50,0.147575303,0.112641892,-31.01280515,warping
40,41,5,0.008392319,0.010736272,21.83208875,warping
40,42,10,0.0164989,0.023163038,28.7705685,warping
40,43,15,0.025134689,0.037219143,32.46838463,warping
40,44,20,0.03503315,0.049286915,28.9199774,warping
40,45,25,0.042942567,0.059304186,27.58931517,warping
40,46,30,0.059092711,0.072585721,18.58906922,warping
40,47,35,0.071208585,0.086025648,17.22400682,warping
40,48,40,0.077190512,0.087762684,12.04631758,warping
40,49,45,0.088721907,0.106553907,16.73519138,warping
40,50,50,0.097933833,0.11294913,13.29385826,warping
41,42,5,0.006345322,0.008225908,22.86173392,warping
41,43,10,0.014343796,0.022044191,34.93163049,warping
41,44,15,0.022683503,0.034770592,34.76238978,warping
41,45,20,0.033374753,0.046009852,27.46172358,warping
41,46,25,0.04492885,0.061050137,26.4066342,warping
41,47,30,0.057857093,0.075914153,23.7861579,warping
